seed,mirror,setting,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,mcc,tn,fp,fn,tp
11,trafficlabelling,all_nine,0.3895848363612514,0.7160940325497287,0.5046300229377283,0.7348852905813181,0.45532066965518986,0.6436494120362097,0.25703340371169914,12398,9307,2355,5940
11,tl_counterfactual,all_nine,0.24028125757698213,0.7168173598553346,0.35991646741926697,0.357477885488173,0.21103944017460957,0.42532874442893426,-0.17574136743846297,2905,18800,2349,5946
11,mlcve,all_nine,0.19065741050518567,0.6141721675872289,0.2909845220998883,0.33963618665801903,0.18369886282999423,0.37848618123791616,-0.260755356755657,3224,19353,2864,4559
23,trafficlabelling,all_nine,0.38911940986629784,0.7122362869198312,0.5032796660703638,0.729106614684633,0.44372305919801724,0.64245769655828,0.2548854632608125,12430,9275,2387,5908
23,tl_counterfactual,all_nine,0.23710472526151258,0.7132007233273056,0.3558924381880527,0.3499955941074624,0.20893943003290058,0.4181069269711856,-0.19580266149304976,2670,19035,2379,5916
23,mlcve,all_nine,0.18990484071162597,0.6183483766671157,0.2905706960402621,0.34340904604692274,0.18461942321107191,0.3755470456662416,-0.271447252632961,2997,19580,2833,4590
42,trafficlabelling,all_nine,0.39021155249021816,0.7093429776974081,0.5034653888936426,0.7475605365885563,0.4685195034485678,0.6428539352896163,0.2555789365996351,12510,9195,2411,5884
42,tl_counterfactual,all_nine,0.23750756200846945,0.7099457504520795,0.3559383499546691,0.35711901561280024,0.21100265403363702,0.41945110604843094,-0.1902765393166685,2799,18906,2406,5889
42,mlcve,all_nine,0.1889416133690943,0.6168664960258655,0.2892791711415756,0.34098993841907504,0.18407625460256574,0.3731229764976739,-0.2779167076566938,2921,19656,2844,4579
77,trafficlabelling,all_nine,0.3830132364391383,0.7116335141651597,0.497996372379466,0.7347679574834841,0.46253603893638384,0.636765847153992,0.2447757378444884,12196,9509,2392,5903
77,tl_counterfactual,all_nine,0.2361694467778711,0.711754068716094,0.35465849702649127,0.3549917012868733,0.21036848960821314,0.416001429658669,-0.2016045060643049,2610,19095,2391,5904
77,mlcve,all_nine,0.19142588581470432,0.6310117203287081,0.29374137714787407,0.3482473895926066,0.18596054399027465,0.3773386988940347,-0.2729923454188846,2792,19785,2739,4684
101,trafficlabelling,all_nine,0.3848042468480425,0.6990958408679928,0.4963834795634496,0.7323407841933295,0.43005381676345333,0.6359796181994882,0.24327942090131421,12434,9271,2496,5799
101,tl_counterfactual,all_nine,0.2358486732496241,0.6996986136226643,0.3527838560661318,0.352814979312578,0.20953377604637516,0.4166541904786899,-0.19418702400203383,2900,18805,2491,5804
101,mlcve,all_nine,0.1912360479536999,0.6231981678566617,0.29266441021098916,0.3480467828358569,0.18559322544579573,0.37832628417637093,-0.26573185139703154,3013,19564,2797,4626
11,trafficlabelling,without_ports,0.3906239726477743,0.7162145871006631,0.5055309734513275,0.7004120988336257,0.37657122769547613,0.644608099816169,0.2587388281587164,12437,9268,2354,5941
11,tl_counterfactual,without_ports,0.24499979380593015,0.7162145871006631,0.3651057030481809,0.30104836914631083,0.19680852423597883,0.43636115210826754,-0.14461781447801916,3397,18308,2354,5941
11,mlcve,without_ports,0.1950968626778673,0.613229152633706,0.29601690781986667,0.28261217284270285,0.1703036776715237,0.39070457941735354,-0.22687206739021898,3797,18780,2871,4552
23,trafficlabelling,without_ports,0.3882646691635456,0.7123568414707655,0.5025941992004763,0.700819859814025,0.3756346880168288,0.6417117079963826,0.25355889552601407,12395,9310,2386,5909
23,tl_counterfactual,without_ports,0.2424802002544216,0.7123568414707655,0.3618050453098212,0.29531116945829183,0.1955157603207349,0.4309307819424779,-0.15823079408613658,3245,18460,2386,5909
23,mlcve,without_ports,0.19484277264797242,0.6168664960258655,0.29614538869486484,0.28352678498945794,0.1705079384581963,0.3893784577396458,-0.2317533986204549,3655,18922,2844,4579
42,trafficlabelling,without_ports,0.3886027469624934,0.7094635322483424,0.502154528776825,0.7184682962498259,0.38809530281947724,0.6414398978910452,0.2530572441870499,12446,9259,2410,5885
42,tl_counterfactual,without_ports,0.2428005611024012,0.7094635322483424,0.36178649371407495,0.30305336545344247,0.19702877499115307,0.43194899717692403,-0.15453170555058887,3352,18353,2410,5885
42,mlcve,without_ports,0.19427819516957426,0.6165970631820019,0.29546188109224714,0.2841656721159341,0.1705312896627237,0.3879149553851277,-0.2355838070819853,3595,18982,2846,4577
77,trafficlabelling,without_ports,0.3830781209447184,0.711754068716094,0.498080735647699,0.7002505485148753,0.38011366689025355,0.636849160596241,0.24492484750690213,12197,9508,2391,5904
77,tl_counterfactual,without_ports,0.24155142787005973,0.711754068716094,0.36069279408620214,0.302276731430371,0.19704744410028607,0.4288325745561581,-0.16385952813193785,3167,18538,2391,5904
77,mlcve,without_ports,0.19632004694245359,0.6310117203287081,0.2994693433923662,0.28818848515485834,0.17153643372174324,0.390848022541995,-0.23347413937339848,3402,19175,2739,4684
101,trafficlabelling,without_ports,0.3842893098423632,0.6994575045207957,0.496045825674347,0.7112325237905006,0.37967212702401576,0.6355845458563435,0.24257513773932085,12409,9296,2493,5802
101,tl_counterfactual,without_ports,0.2408968237492215,0.6994575045207957,0.35836936380481776,0.30087815422956654,0.19643880746915066,0.42855851498788,-0.16062674528799462,3422,18283,2493,5802
101,mlcve,without_ports,0.196015260703688,0.6229287350127981,0.298197530068036,0.29005623523027946,0.17162001702476332,0.39143513421588216,-0.2285857520898692,3611,18966,2799,4624
11,trafficlabelling,without_protocol,0.29561489200043417,0.65666063893912,0.4076943228172598,0.5083799076303867,0.2684940385444194,0.5293439108079613,0.05392359117922163,8726,12979,2848,5447
11,tl_counterfactual,without_protocol,0.2722253415684073,0.7013863773357444,0.39222031213132436,0.5330517172358433,0.29478169796526077,0.49238865054301617,-0.015041879213213824,6151,15554,2477,5818
11,mlcve,without_protocol,0.20271567686188452,0.5973326148457497,0.3027034407427635,0.47455582589869477,0.2559966268376987,0.4124546761166783,-0.1700068771348229,5138,17439,2989,4434
23,trafficlabelling,without_protocol,0.2836147416839625,0.6095238095238096,0.38710665339560524,0.4905659745957875,0.2566291547867816,0.5105670187909304,0.019250083709716398,8934,12771,3239,5056
23,tl_counterfactual,without_protocol,0.2680704404891176,0.6845087402049428,0.3852625865110598,0.5044251907079407,0.2732632665289242,0.48512467648348956,-0.029207985496739988,6202,15503,2617,5678
23,mlcve,without_protocol,0.20124804992199688,0.5908662265930217,0.30023616387719476,0.458361535997774,0.24567743901497824,0.40990802138881716,-0.17442339599877119,5169,17408,3037,4386
42,trafficlabelling,without_protocol,0.2914733819306384,0.6362869198312237,0.3998030526834072,0.5059542867473724,0.26854001189800275,0.5225894401045084,0.04131053881242871,8875,12830,3017,5278
42,tl_counterfactual,without_protocol,0.268581553669682,0.6943942133815552,0.3873440704751017,0.5326703999420139,0.2985956938988988,0.4858517945507177,-0.028032489607706677,6019,15686,2535,5760
42,mlcve,without_protocol,0.20186518176467924,0.6007005253940455,0.3021821631878558,0.4762224679913644,0.2592401414162687,0.40990866283875993,-0.17645426317086416,4947,17630,2964,4459
77,trafficlabelling,without_protocol,0.2765401922115438,0.6001205545509343,0.3786127167630058,0.482909047131664,0.2529391023256828,0.5000602772754672,0.00011006541040299314,8682,13023,3317,4978
77,tl_counterfactual,without_protocol,0.26680523406868534,0.6808921036769138,0.3833831115938094,0.5023522356259665,0.2729278875928062,0.48290170721740183,-0.03355951853412329,6184,15521,2647,5648
77,mlcve,without_protocol,0.20374429223744292,0.6011046746598411,0.30433448146506153,0.46024873543215716,0.24561386732449506,0.41436285245593374,-0.1664755539475089,5139,17438,2961,4462
101,trafficlabelling,without_protocol,0.2821444543828265,0.6084388185654008,0.385517320398732,0.48857746046464745,0.2562930226195389,0.5084119916369967,0.015336564802219859,8864,12841,3248,5047
101,tl_counterfactual,without_protocol,0.264427825596162,0.677757685352622,0.3804303694681283,0.505845448843533,0.2769185520476069,0.47861623037499795,-0.04209976188453758,6066,15639,2673,5622
101,mlcve,without_protocol,0.20160231747612367,0.6000269432843863,0.30180241225098253,0.46454100816633803,0.24894050432763895,0.40937255389404237,-0.17753311302163274,4938,17639,2969,4454
11,trafficlabelling,onehot_protocol,0.38863829509054065,0.7166968053044003,0.5039844014920312,0.7520432441199107,0.4651241254791869,0.6429141709083623,0.25573329134580464,12353,9352,2350,5945
11,tl_counterfactual,onehot_protocol,0.238656405323072,0.7177817962628089,0.35821075113557743,0.3758516487521938,0.21597301432411312,0.421341946276993,-0.18802333152241363,2711,18994,2341,5954
11,mlcve,onehot_protocol,0.1888916480423806,0.6148457496968881,0.28899794206110496,0.3530180019913112,0.18714272074071414,0.3733970964013519,-0.27599297210530543,2979,19598,2859,4564
23,trafficlabelling,onehot_protocol,0.38918136351671495,0.712959614225437,0.503511983312758,0.7418430294211701,0.4502964548416635,0.6426581070436099,0.2552468330163521,12423,9282,2381,5914
23,tl_counterfactual,onehot_protocol,0.23529177929718556,0.7135623869801085,0.35389076559744104,0.3609232129162496,0.21169103873809164,0.4136344531076539,-0.2099596079314936,2468,19237,2376,5919
23,mlcve,onehot_protocol,0.18814274593354366,0.6186178095109793,0.28853283066289664,0.35089022601002423,0.18646587194529435,0.3704773505188772,-0.28702448861372,2762,19815,2831,4592
42,trafficlabelling,onehot_protocol,0.3891974084358059,0.7097046413502109,0.502711242047735,0.7578075067910869,0.4764101875522333,0.6420211757776164,0.25409449326825523,12466,9239,2408,5887
42,tl_counterfactual,onehot_protocol,0.23479716266836695,0.7103074141048824,0.35293060588816677,0.3578492468256537,0.21114268848890888,0.4128132325074055,-0.21087249831312177,2503,19202,2403,5892
42,mlcve,onehot_protocol,0.18756391900184086,0.6176747945574566,0.2877494665495168,0.3426120251003718,0.1844873903701052,0.3690092535926761,-0.29104249636811763,2717,19860,2838,4585
77,trafficlabelling,onehot_protocol,0.38245773142449957,0.711754068716094,0.4975560424742963,0.7434515287252946,0.4650203501069551,0.6362732564266949,0.24390564013876162,12172,9533,2391,5904
77,tl_counterfactual,onehot_protocol,0.23363118772734462,0.7123568414707655,0.3518623276863072,0.3588339506165125,0.21128332765328212,0.40966840000283267,-0.22215084781089395,2322,19383,2386,5909
77,mlcve,onehot_protocol,0.19021915584415586,0.6314158695945036,0.29236191248479554,0.3514256517359655,0.18669688365876597,0.3738201729156909,-0.2842758873013909,2624,19953,2736,4687
101,trafficlabelling,onehot_protocol,0.3845643813817796,0.6992163954189271,0.4962142276596655,0.7409342991582981,0.44006574957265077,0.6357864976403551,0.2429348960628012,12423,9282,2495,5800
101,tl_counterfactual,onehot_protocol,0.2334686658359127,0.7001808318264015,0.35017484625587847,0.36132726367135404,0.21174413184421695,0.41081375155015076,-0.21200924574121585,2636,19069,2487,5808
101,mlcve,onehot_protocol,0.18939828080229226,0.6233328842785936,0.2905220858317898,0.35492971376397214,0.18735975283394943,0.37310064508920154,-0.28165854128478385,2774,19803,2796,4627
11,trafficlabelling,intersection,0.3003875968992248,0.6913803496081977,0.41881184503596597,0.531767612704689,0.28260091986384855,0.5379960950989617,0.07065758252639419,8348,13357,2560,5735
11,tl_counterfactual,intersection,0.3003875968992248,0.6913803496081977,0.41881184503596597,0.531767612704689,0.28260091986384855,0.5379960950989617,0.07065758252639419,8348,13357,2560,5735
11,mlcve,intersection,0.22522848143749677,0.5876330324666577,0.32564389697648377,0.46294267601734007,0.23197123413157472,0.46150930092571485,-0.0694463713197877,7572,15005,3061,4362
